Type,Source,dType,PU_SG_PU_1_1_n1_1,PU_SG_PU_1_n1_1_1,PU_SG_PU_3_1_n1_1,PU_SG_PU_3_n1_1_1,SU_SG_SU_1_0_0_1,SU_SG_SU_3_0_0_1
m,mean,num,1.613850087500178,1.6135697655782744,1.1426520899894852,1.1423486748538234,2.652523797400391,1.1438072919824132
m,ref,num,1.784615753610107,1.784615753610107,0.802904951323892,0.802904951323892,2.686062120382649,1.109153108617096
m,diff,%,10.581259525439672,10.600470564130388,29.73320940311059,29.71454609280018,1.2643929157252864,3.0297221925605586
m,diff,num,-0.17076566610992905,-0.17104598803183269,0.33974713866559325,0.33944372352993146,-0.033538322982257895,0.034654183365317115
m,std,%,0.12919364091595412,0.1364913295290914,0.26657269916977283,0.26545745020478895,0.0015986952855159273,0.00677695815526316
m,std,num,0.002084991686966791,0.00220238282591723,0.0030459985184047925,0.003032449664715155,4.2405772896228096e-05,7.751534155449686e-05
m,diff/std,%,8190.232468425613,7766.405822775015,11153.88391073548,11193.713369082952,79089.05012609983,44706.2254649986
p,mean,num,-0.8593820224537885,-0.861041402423214,0.14413848737267881,0.14349786307324844,2.356758623003305,-0.7851263234865391
p,ref,num,-0.8610414024232179,-0.8610414024232179,-3.1204444620772467,-3.1204444620772467,2.611229196458127,-0.07867827542158025
p,diff,%,0.19308990950164678,4.512884717566847e-13,2264.893304318609,2274.558139924646,10.797481378493504,89.97890236666748
p,diff,num,0.001659379969429442,3.885780586188048e-15,3.2645829494499257,3.263942325150495,-0.2544705734548218,-0.7064480480649589
p,std,%,1.6359395541490414,0.0,1249.2924936236816,1255.1514908879167,5.709133244825124,17.100819321458633
p,std,num,0.014058970426567521,0.0,1.8007113031695947,1.801115567756179,0.1345504900461645,0.1342630340246439
p,diff/std,%,11.802997794871793,inf,181.29407771826823,181.21781764491095,189.12645607423096,526.167200970068
pc,mean,num,0.0,0.005372290282555586,2.0588701262124878,2.0589261505779937,2.986922567771787,0.1542746511609845
pc,ref,num,0.0,0.0,2.2594030596540287,2.2594030596540287,2.8109147082982417,0.7823631270016377
pc,diff,%,,100.0,9.739950611185112,9.736964534631607,5.892615408669448,407.1235754636368
pc,diff,num,0.0,0.005372290282555586,-0.20053293344154088,-0.200476909076035,0.17600785947354547,-0.6280884758406532
pc,std,%,,243.70701643460612,0.2568779165009585,0.4614698834460367,0.2266408056085178,4.433055049543538
pc,std,num,0.0,0.013092648361822487,0.005288782683675293,0.009501324107312237,0.006769585370500604,0.006839080213457701
pc,diff/std,%,,41.032876879370846,3791.665217414191,2109.9891637392684,2599.9799077876146,9183.815019521526
